count,word,rank,cumulative_fraction
9927,heißen,862,0.7954
9921,mörder,863,0.7955
9915,lachen,864,0.7956
9908,a,865,0.7957
9897,führen,866,0.7958
9896,heraus,867,0.796
9894,glaubt,868,0.7961
9893,fällt,869,0.7962
9878,stimme,870,0.7963
9874,geschehen,871,0.7964
9847,wisst,872,0.7965
9844,erfahren,873,0.7966
9792,wärst,874,0.7967
9776,geschäft,875,0.7968
9703,tages,876,0.7969
9694,schneller,877,0.797
9693,hinten,878,0.7971
9681,stand,879,0.7972
9675,umgebracht,880,0.7973
9653,acht,881,0.7974
9646,liebling,882,0.7975
9605,mögen,883,0.7976
9604,fallen,884,0.7977
9564,denk,885,0.7978
9533,lesen,886,0.7979
9506,frank,887,0.798
9506,meinung,888,0.7981
9504,liebt,889,0.7982
9480,erinnere,890,0.7983
9421,folgen,891,0.7984
9420,schluss,892,0.7985
9419,monate,893,0.7986
9365,unglaublich,894,0.7987
9355,vorher,895,0.7988
9339,verzeihung,896,0.7989
9327,arschloch,897,0.799
9310,meisten,898,0.7991
9304,schlimm,899,0.7992
9303,aufs,900,0.7993
9296,york,901,0.7994
9278,peter,902,0.7995
9255,lebens,903,0.7996
9237,werdet,904,0.7997
9207,unmöglich,905,0.7998
9188,kampf,906,0.7999
9188,laden,907,0.8
9154,nähe,908,0.8001
9147,team,909,0.8002
9142,bild,910,0.8003
9140,joe,911,0.8004
9128,verdient,912,0.8005
9126,arbeitet,913,0.8006
9119,jedem,914,0.8007
9108,behalten,915,0.8007
9095,bitten,916,0.8008
9095,tatsächlich,917,0.8009
9043,anfangen,918,0.801
9024,versprochen,919,0.8011
9002,mord,920,0.8012
8982,bekommt,921,0.8013
8970,rufe,922,0.8014
8947,zieh,923,0.8015
8940,fort,924,0.8016
8920,perfekt,925,0.8017
8910,tom,926,0.8018
8891,sieben,927,0.8019
8886,plötzlich,928,0.802
8880,geschickt,929,0.8021
8870,tisch,930,0.8022
8864,liegen,931,0.8023
8850,chffffff,932,0.8024
8849,antwort,933,0.8024
8841,bezahlen,934,0.8025
8822,machte,935,0.8026
8807,arbeite,936,0.8027
8779,gefährlich,937,0.8028
8763,traum,938,0.8029
8763,bezahlt,939,0.803
8759,auge,940,0.8031
8750,general,941,0.8032
8735,dumm,942,0.8033
8727,konnten,943,0.8034
8717,starb,944,0.8035
8716,hotel,945,0.8036
8704,verkaufen,946,0.8036
8667,ziel,947,0.8037
8643,obwohl,948,0.8038
8627,ärger,949,0.8039
8602,fenster,950,0.804
8595,seien,951,0.8041
8588,daddy,952,0.8042
8587,niemanden,953,0.8043
8582,hörte,954,0.8044
8581,handy,955,0.8045
8561,bewegung,956,0.8046
8550,gerettet,957,0.8046
8523,dagegen,958,0.8047
8516,monaten,959,0.8048
8515,nötig,960,0.8049
8508,hilf,961,0.805
8502,ihres,962,0.8051
8491,werd,963,0.8052
8472,gewinnen,964,0.8053
8472,max,965,0.8054
8461,gedanken,966,0.8055
8456,erinnerst,967,0.8055
8450,voller,968,0.8056
8442,verheiratet,969,0.8057
8436,fahr,970,0.8058
8432,rum,971,0.8059
8420,neu,972,0.806
8416,mike,973,0.8061
8412,benutzt,974,0.8062
8412,yeah,975,0.8063
8411,nimmt,976,0.8063
8383,welcher,977,0.8064
8378,augenblick,978,0.8065
8373,you,979,0.8066
8350,komisch,980,0.8067
8335,hole,981,0.8068
8330,gefahr,982,0.8069
8315,entscheidung,983,0.807
8312,meister,984,0.8071
8290,unterwegs,985,0.8071
8285,lacht,986,0.8072
8283,leiche,987,0.8073
8259,zug,988,0.8074
8253,ma,989,0.8075
8251,chef,990,0.8076
8241,gleiche,991,0.8077
8237,worte,992,0.8077
8217,bier,993,0.8078
8212,arm,994,0.8079
8192,klappe,995,0.808
8161,fangen,996,0.8081
8154,absolut,997,0.8082
8153,schlimmer,998,0.8083
8142,kamen,999,0.8084
